user_id,loyalty_tier,hotel_id,checkin_date,checkout_date,length_of_stay,price_paid,trip_purpose,party_type,rating
U0001,Diamond,H061,6/9/23,6/13/23,4,1760,Leisure,Couple,4
U0001,Diamond,H031,9/17/25,9/20/25,3,1422,Family,Couple,4
U0001,Diamond,H015,10/15/24,10/20/24,5,585,Leisure,Solo,2
U0001,Diamond,H052,11/27/24,11/28/24,1,406,Leisure,Family,4
U0001,Diamond,H053,10/18/25,10/22/25,4,1236,Family,Family,3
U0001,Diamond,H021,9/29/23,10/13/23,14,5852,Family,Family,4.5
U0001,Diamond,H082,4/2/24,4/5/24,3,1554,Leisure,Couple,3
U0001,Diamond,H004,7/1/25,7/4/25,3,543,Leisure,Family,3
U0001,Diamond,H032,8/11/24,8/16/24,5,2140,Leisure,Solo,4.5
U0001,Diamond,H063,6/20/23,6/30/23,10,3280,Family,Couple,2.5
U0001,Diamond,H023,9/19/25,9/29/25,10,2020,Leisure,Family,2.5
U0001,Diamond,H081,12/6/25,12/9/25,3,1713,Family,Family,4
U0002,Gold,H043,11/11/24,11/13/24,2,638,Leisure,Family,3.5
U0002,Gold,H041,6/27/25,7/1/25,4,1796,Leisure,Group,3.5
U0002,Gold,H003,11/24/23,12/8/23,14,4032,Leisure,Couple,3
U0002,Gold,H011,11/6/24,11/11/24,5,2220,Leisure,Couple,2.5
U0002,Gold,H081,4/5/24,4/7/24,2,1182,Family,Family,4
U0002,Gold,H022,11/20/25,11/22/25,2,882,Leisure,Couple,3.5
U0002,Gold,H016,8/29/23,9/2/23,4,592,Family,Family,1.5
U0002,Gold,H046,1/14/25,1/17/25,3,339,Family,Family,1.5
U0002,Gold,H072,12/21/23,12/23/23,2,930,Family,Couple,4
U0002,Gold,H002,7/22/25,7/29/25,7,2387,Leisure,Family,3.5
U0002,Gold,H052,3/16/25,3/18/25,2,822,Family,Family,3
U0002,Gold,H001,5/20/24,5/23/24,3,1401,Leisure,Couple,3
U0003,Diamond,H082,5/30/24,6/3/24,4,1876,Business,Solo,4
U0003,Diamond,H017,11/28/23,12/1/23,3,531,Business,Group,2
U0003,Diamond,H092,1/7/24,1/10/24,3,2013,Business,Group,3.5
U0003,Diamond,H031,10/10/25,10/14/25,4,1996,Family,Family,3.5
U0003,Diamond,H095,12/24/24,12/31/24,7,1022,Family,Family,2.5
U0003,Diamond,H081,1/12/24,1/17/24,5,2275,Business,Solo,4.5
U0003,Diamond,H076,5/1/24,5/2/24,1,145,Business,Solo,2
U0003,Diamond,H001,10/11/25,10/14/25,3,1482,Family,Couple,3.5
U0003,Diamond,H032,8/29/23,9/2/23,4,1780,Leisure,Solo,5
U0003,Diamond,H025,7/29/23,8/1/23,3,567,Family,Family,3
U0003,Diamond,H002,6/1/24,6/15/24,14,5418,Business,Group,4
U0003,Diamond,H043,4/19/25,4/24/25,5,1575,Business,Group,4.5
U0003,Diamond,H033,9/20/24,9/23/24,3,897,Business,Group,4
U0003,Diamond,H061,10/15/24,10/18/24,3,1269,Business,Solo,4
U0003,Diamond,H055,10/2/25,10/4/25,2,272,Business,Group,2.5
U0004,Gold,H042,7/17/25,7/20/25,3,1824,Leisure,Solo,5
U0004,Gold,H082,8/24/23,8/29/23,5,2200,Business,Group,4
U0004,Gold,H024,4/27/25,4/29/25,2,492,Business,Solo,4.5
U0004,Gold,H014,8/12/25,8/15/25,3,630,Business,Group,4
U0004,Gold,H011,8/10/23,8/13/23,3,1269,Family,Family,5
U0004,Gold,H072,10/29/24,10/31/24,2,886,Business,Group,5
U0004,Gold,H021,6/19/23,6/22/23,3,1590,Leisure,Solo,4.5
U0004,Gold,H012,1/23/24,1/27/24,4,1656,Business,Solo,5
U0004,Gold,H031,10/13/25,10/16/25,3,1938,Leisure,Solo,4.5
U0004,Gold,H092,12/18/23,12/19/23,1,639,Family,Family,4
U0004,Gold,H033,5/3/25,5/7/25,4,980,Business,Solo,3.5
U0005,Classic,H015,7/19/25,7/21/25,2,270,Leisure,Solo,2
U0005,Classic,H097,12/26/23,1/2/24,7,1085,Leisure,Family,1.5
U0005,Classic,H084,5/26/25,5/31/25,5,1305,Leisure,Solo,2.5
U0005,Classic,H047,9/17/23,9/20/23,3,465,Business,Solo,2
U0005,Classic,H058,10/27/25,11/10/25,14,1176,Leisure,Family,1.5
U0005,Classic,H022,8/21/23,8/28/23,7,4081,Leisure,Couple,1
U0005,Classic,H052,6/27/24,7/4/24,7,3388,Family,Couple,1.5
U0005,Classic,H067,6/23/24,6/27/24,4,496,Family,Couple,1.5
U0006,Gold,H051,5/23/24,5/28/24,5,1555,Leisure,Couple,1.5
U0006,Gold,H066,9/16/23,9/30/23,14,1862,Leisure,Solo,1.5
U0006,Gold,H025,9/27/23,9/28/23,1,104,Leisure,Solo,1.5
U0006,Gold,H072,12/7/24,12/12/24,5,2475,Family,Family,2.5
U0006,Gold,H004,8/13/23,8/15/23,2,314,Leisure,Solo,1.5
U0006,Gold,H003,2/24/24,2/28/24,4,936,Business,Group,2
U0006,Gold,H036,11/21/25,11/23/25,2,280,Leisure,Group,2
U0006,Gold,H033,9/25/24,10/2/24,7,2009,Business,Solo,1.5
U0006,Gold,H031,3/22/24,3/24/24,2,1018,Family,Family,2
U0006,Gold,H047,7/24/25,7/26/25,2,314,Business,Group,1
U0007,Gold,H075,9/28/23,10/1/23,3,411,Leisure,Couple,2
U0007,Gold,H030,11/28/24,12/1/24,3,156,Leisure,Family,2
U0007,Gold,H081,9/24/23,9/28/23,4,1928,Leisure,Couple,1.5
U0007,Gold,H028,8/5/23,8/15/23,10,1070,Leisure,Solo,1
U0007,Gold,H043,5/11/25,5/14/25,3,840,Family,Family,1.5
U0007,Gold,H072,8/30/23,9/3/23,4,1852,Family,Family,1
U0007,Gold,H068,10/8/25,10/11/25,3,261,Leisure,Couple,1.5
U0007,Gold,H099,1/25/24,1/27/24,2,120,Leisure,Solo,1
U0007,Gold,H022,3/11/25,3/14/25,3,1356,Leisure,Family,1
U0008,Silver,H063,12/9/25,12/11/25,2,412,Business,Solo,1.5
U0008,Silver,H085,6/7/25,6/21/25,14,2380,Leisure,Solo,2
U0008,Silver,H082,11/21/25,12/1/25,10,5160,Leisure,Couple,2
U0008,Silver,H061,6/29/23,7/9/23,10,4440,Family,Family,2.5
U0008,Silver,H007,6/21/23,6/24/23,3,204,Family,Family,1.5
U0008,Silver,H011,5/5/25,5/9/25,4,2244,Leisure,Family,2
U0009,Platinum,H021,2/10/24,2/13/24,3,1413,Leisure,Family,3.5
U0009,Platinum,H008,11/6/24,11/9/24,3,261,Family,Couple,1.5
U0009,Platinum,H003,11/2/23,11/9/23,7,2016,Family,Family,2
U0009,Platinum,H056,1/29/25,2/2/25,4,388,Leisure,Group,1.5
U0009,Platinum,H081,9/30/25,10/5/25,5,2355,Family,Family,3
U0009,Platinum,H083,7/16/25,7/18/25,2,498,Family,Family,2.5
U0009,Platinum,H043,8/12/25,8/14/25,2,544,Leisure,Family,3.5
U0009,Platinum,H075,6/14/23,6/28/23,14,1484,Leisure,Group,2
U0009,Platinum,H092,1/22/25,1/25/25,3,2007,Family,Family,2.5
U0009,Platinum,H024,3/8/25,3/13/25,5,1495,Leisure,Couple,2.5
U0009,Platinum,H037,11/18/24,11/23/24,5,665,Family,Family,2.5
U0009,Platinum,H032,4/21/24,4/26/24,5,2325,Family,Couple,3
U0009,Platinum,H091,12/21/23,12/25/23,4,1628,Family,Family,3.5
U0009,Platinum,H095,11/13/25,11/14/25,1,197,Leisure,Family,1
U0009,Platinum,H063,8/31/25,9/2/25,2,488,Family,Family,3
U0009,Platinum,H071,11/21/24,11/23/24,2,814,Family,Family,3
U0009,Platinum,H064,12/24/23,12/26/23,2,542,Family,Couple,2
U0010,Classic,H098,7/19/23,7/26/23,7,651,Leisure,Group,1
U0010,Classic,H091,8/28/24,8/30/24,2,814,Leisure,Group,2
U0010,Classic,H005,7/26/23,7/27/23,1,97,Business,Solo,1
U0010,Classic,H082,5/29/25,6/2/25,4,1896,Leisure,Solo,2.5
U0011,Gold,H017,6/18/24,6/19/24,1,168,Business,Solo,3.5
U0011,Gold,H008,1/17/25,1/20/25,3,276,Leisure,Group,2
U0011,Gold,H014,7/29/23,8/3/23,5,1290,Leisure,Solo,4
U0011,Gold,H091,10/26/24,10/28/24,2,812,Family,Couple,4
U0011,Gold,H081,2/25/24,2/28/24,3,1650,Leisure,Solo,3
U0011,Gold,H032,7/2/23,7/12/23,10,4760,Family,Family,2
U0011,Gold,H062,6/9/23,6/12/23,3,1305,Leisure,Family,3
U0012,Classic,H062,5/20/25,5/30/25,10,5370,Leisure,Couple,1.5
U0012,Classic,H014,12/21/24,12/22/24,1,257,Leisure,Solo,1.5
U0012,Classic,H082,9/4/24,9/8/24,4,1772,Family,Family,2
U0013,Gold,H094,8/17/25,8/21/25,4,888,Leisure,Group,2.5
U0013,Gold,H092,9/22/25,9/29/25,7,2954,Business,Solo,3.5
U0013,Gold,H012,7/6/25,7/9/25,3,1242,Leisure,Solo,4
U0013,Gold,H026,4/8/24,4/15/24,7,1253,Leisure,Couple,3
U0013,Gold,H007,5/19/24,5/22/24,3,249,Leisure,Solo,2
U0013,Gold,H023,12/7/24,12/14/24,7,1785,Leisure,Couple,3.5
U0013,Gold,H081,1/30/25,2/1/25,2,1048,Leisure,Family,4
U0013,Gold,H032,3/1/24,3/4/24,3,1437,Family,Couple,3
U0013,Gold,H004,8/22/23,8/26/23,4,748,Family,Family,2.5
U0013,Gold,H031,8/9/25,8/12/25,3,1680,Leisure,Family,5
U0013,Gold,H061,3/6/25,3/9/25,3,1392,Family,Family,3
U0013,Gold,H038,11/15/24,11/20/24,5,365,Family,Family,2
U0013,Gold,H095,8/6/25,8/16/25,10,1800,Family,Family,1.5
U0013,Gold,H074,6/22/25,6/26/25,4,1216,Family,Couple,3
U0014,Silver,H061,2/1/24,2/11/24,10,4460,Leisure,Group,2
U0014,Silver,H008,12/30/25,1/2/26,3,246,Family,Family,1
U0014,Silver,H022,11/2/24,11/4/24,2,1110,Leisure,Couple,1
U0015,Gold,H094,12/26/24,12/29/24,3,609,Business,Solo,2.5
U0015,Gold,H062,10/15/24,10/22/24,7,3045,Leisure,Couple,4.5
U0015,Gold,H024,9/5/25,9/7/25,2,598,Business,Group,2.5
U0015,Gold,H053,7/9/25,7/12/25,3,702,Family,Couple,3
U0015,Gold,H011,8/2/25,8/16/25,14,9212,Leisure,Solo,3.5
U0015,Gold,H092,6/27/24,7/1/24,4,2052,Family,Family,3
U0015,Gold,H013,5/27/24,5/29/24,2,420,Leisure,Group,3.5
U0015,Gold,H022,5/26/25,6/9/25,14,5572,Leisure,Group,3.5
U0015,Gold,H071,1/31/25,2/4/25,4,1828,Leisure,Family,4
U0015,Gold,H072,10/18/25,10/22/25,4,1932,Business,Solo,4
U0015,Gold,H059,10/8/25,10/13/25,5,595,Business,Solo,1.5
U0016,Silver,H095,6/27/25,7/4/25,7,1337,Leisure,Couple,1
U0016,Silver,H051,10/10/24,10/13/24,3,1110,Family,Couple,2
U0016,Silver,H007,3/10/25,3/12/25,2,170,Business,Solo,2
U0016,Silver,H061,10/19/24,10/29/24,10,3620,Leisure,Couple,1.5
U0016,Silver,H024,3/6/24,3/13/24,7,1484,Family,Family,2.5
U0016,Silver,H079,7/30/23,8/2/23,3,255,Leisure,Family,1
U0016,Silver,H081,8/6/24,8/7/24,1,472,Family,Family,1.5
U0016,Silver,H097,12/3/23,12/7/23,4,572,Leisure,Family,2
U0017,Diamond,H031,6/16/23,6/20/23,4,1900,Leisure,Family,4
U0017,Diamond,H002,12/25/25,12/28/25,3,1059,Leisure,Couple,4
U0017,Diamond,H052,3/10/25,3/15/25,5,3005,Leisure,Couple,4
U0017,Diamond,H053,9/11/23,9/14/23,3,507,Family,Couple,2.5
U0017,Diamond,H091,9/29/23,10/1/23,2,788,Leisure,Family,3
U0017,Diamond,H071,4/10/24,4/20/24,10,4080,Leisure,Couple,4.5
U0017,Diamond,H088,12/4/23,12/14/23,10,820,Leisure,Group,2.5
U0017,Diamond,H055,10/15/23,10/19/23,4,496,Leisure,Family,2.5
U0017,Diamond,H051,9/8/23,9/13/23,5,1560,Leisure,Couple,4
U0017,Diamond,H094,2/2/25,2/4/25,2,440,Leisure,Solo,3
U0017,Diamond,H072,7/30/25,8/6/25,7,3500,Leisure,Group,4
U0017,Diamond,H010,3/9/25,3/16/25,7,1008,Family,Family,1.5
U0017,Diamond,H073,11/21/25,12/1/25,10,2620,Leisure,Solo,3
U0017,Diamond,H013,8/17/23,8/20/23,3,723,Business,Group,3
U0017,Diamond,H036,8/25/23,8/28/23,3,507,Family,Couple,2
U0017,Diamond,H017,9/23/25,9/26/25,3,468,Business,Solo,2.5
U0018,Gold,H051,9/27/25,9/29/25,2,634,Business,Group,4
U0018,Gold,H012,5/15/25,5/19/25,4,1532,Business,Group,4.5
U0018,Gold,H014,4/4/25,4/8/25,4,940,Leisure,Group,3.5
U0018,Gold,H027,6/13/24,6/16/24,3,627,Leisure,Couple,4
U0018,Gold,H052,11/16/25,11/19/25,3,1635,Business,Solo,4.5
U0018,Gold,H018,4/23/24,4/26/24,3,231,Business,Group,2
U0018,Gold,H011,12/7/23,12/10/23,3,1365,Business,Group,3.5
U0018,Gold,H093,5/29/24,6/1/24,3,498,Business,Solo,4
U0018,Gold,H001,2/5/24,2/12/24,7,3542,Business,Group,3
U0018,Gold,H074,7/14/25,7/18/25,4,1204,Business,Group,3.5
U0018,Gold,H073,7/11/23,7/13/23,2,358,Leisure,Solo,2.5
U0019,Silver,H052,12/15/25,12/22/25,7,4361,Family,Family,3
U0019,Silver,H059,2/8/25,2/11/25,3,180,Family,Family,2
U0019,Silver,H062,1/11/24,1/18/24,7,4123,Leisure,Couple,3
U0019,Silver,H082,10/5/23,10/12/23,7,3766,Leisure,Solo,3.5
U0020,Classic,H053,8/26/23,8/29/23,3,666,Family,Couple,2
U0020,Classic,H008,10/30/23,11/2/23,3,162,Leisure,Couple,1
U0020,Classic,H030,1/21/24,1/25/24,4,372,Leisure,Couple,1
U0021,Classic,H027,9/2/25,9/5/25,3,405,Leisure,Group,3
U0021,Classic,H093,12/12/23,12/17/23,5,845,Business,Solo,1.5
U0021,Classic,H072,12/2/24,12/5/24,3,1509,Leisure,Solo,1.5
U0021,Classic,H057,7/26/23,7/31/23,5,570,Leisure,Solo,2
U0021,Classic,H064,10/2/25,10/5/25,3,690,Family,Family,2
U0021,Classic,H003,8/13/24,8/17/24,4,1176,Business,Solo,2
U0021,Classic,H062,10/21/25,10/24/25,3,1488,Leisure,Couple,1.5
U0022,Gold,H005,6/23/24,6/25/24,2,220,Business,Solo,1.5
U0022,Gold,H044,12/30/24,1/13/25,14,3808,Leisure,Couple,3
U0022,Gold,H023,6/16/24,6/20/24,4,992,Leisure,Family,2
U0022,Gold,H043,7/11/24,7/21/24,10,2990,Family,Family,1
U0022,Gold,H055,6/20/23,7/4/23,14,1848,Family,Family,1.5
U0022,Gold,H033,2/6/25,2/11/25,5,1725,Leisure,Group,2
U0022,Gold,H014,11/29/25,12/1/25,2,478,Leisure,Couple,1.5
U0022,Gold,H048,1/10/24,1/13/24,3,321,Business,Solo,1.5
U0022,Gold,H082,11/29/23,12/1/23,2,1070,Leisure,Solo,2.5
U0022,Gold,H064,6/28/24,7/5/24,7,1582,Business,Solo,2.5
U0022,Gold,H032,12/2/25,12/6/25,4,1664,Family,Couple,2.5
U0022,Gold,H093,11/1/24,11/6/24,5,1050,Leisure,Solo,2.5
U0022,Gold,H091,11/9/23,11/23/23,14,5880,Business,Solo,2.5
U0022,Gold,H021,12/9/24,12/13/24,4,2068,Leisure,Couple,1.5
U0022,Gold,H003,12/20/25,12/25/25,5,1370,Leisure,Group,2
U0022,Gold,H072,10/24/24,10/25/24,1,516,Business,Group,2
U0022,Gold,H097,1/14/24,1/19/24,5,775,Family,Family,2
U0022,Gold,H087,6/13/25,6/17/25,4,768,Business,Solo,2
U0023,Gold,H001,4/6/25,4/9/25,3,1494,Family,Family,3.5
U0023,Gold,H016,9/2/23,9/6/23,4,776,Family,Family,2.5
U0023,Gold,H044,7/5/23,7/12/23,7,2030,Leisure,Family,2.5
U0023,Gold,H092,5/24/24,6/7/24,14,6146,Family,Family,4
U0023,Gold,H033,6/29/23,7/4/23,5,1010,Family,Couple,3
U0023,Gold,H041,2/3/25,2/6/25,3,1281,Leisure,Couple,3.5
U0023,Gold,H071,12/24/24,12/26/24,2,948,Family,Couple,3.5
U0023,Gold,H057,4/28/25,5/12/25,14,1694,Leisure,Family,3.5
U0023,Gold,H027,10/31/23,11/5/23,5,960,Family,Family,1.5
U0023,Gold,H038,4/28/24,5/1/24,3,138,Business,Group,1
U0023,Gold,H021,5/18/25,5/21/25,3,1632,Leisure,Family,3
U0024,Silver,H054,7/23/25,7/24/25,1,268,Leisure,Couple,1.5
U0024,Silver,H037,9/15/24,9/19/24,4,432,Leisure,Solo,1
U0024,Silver,H042,8/30/23,9/4/23,5,2975,Leisure,Couple,1.5
U0024,Silver,H055,9/23/25,9/26/25,3,393,Leisure,Couple,2.5
U0024,Silver,H001,6/12/23,6/14/23,2,1106,Leisure,Couple,2
U0024,Silver,H007,7/27/23,8/6/23,10,940,Family,Family,1.5
U0024,Silver,H087,12/6/24,12/8/24,2,286,Leisure,Solo,2
U0025,Platinum,H067,7/21/23,7/24/23,3,588,Business,Solo,3
U0025,Platinum,H014,11/29/24,12/2/24,3,714,Business,Solo,4.5
U0025,Platinum,H032,12/2/24,12/5/24,3,1329,Business,Solo,5
U0025,Platinum,H042,3/25/25,3/28/25,3,1890,Business,Solo,5
U0026,Classic,H083,10/26/23,10/31/23,5,1220,Family,Family,3
U0026,Classic,H031,3/12/24,3/15/24,3,1461,Family,Family,3
U0026,Classic,H014,6/24/23,7/1/23,7,1785,Family,Family,3
U0026,Classic,H022,5/1/24,5/4/24,3,1212,Family,Family,3
U0026,Classic,H041,11/12/23,11/16/23,4,1812,Family,Family,2
U0026,Classic,H012,5/16/25,5/20/25,4,1812,Leisure,Family,3.5
U0026,Classic,H027,6/26/23,6/30/23,4,732,Family,Family,2.5
U0026,Classic,H053,3/2/25,3/12/25,10,2210,Leisure,Family,3.5
U0026,Classic,H046,12/8/24,12/10/24,2,226,Leisure,Couple,2
U0026,Classic,H036,9/6/24,9/9/24,3,360,Family,Couple,1.5
U0027,Silver,H052,5/28/24,6/7/24,10,4160,Family,Family,4
U0027,Silver,H082,12/21/24,12/23/24,2,838,Leisure,Group,3
U0027,Silver,H042,6/28/24,7/12/24,14,6468,Leisure,Family,3.5
U0027,Silver,H001,1/1/24,1/3/24,2,1066,Family,Family,3.5
U0028,Platinum,H052,4/9/25,4/12/25,3,1737,Business,Solo,4
U0028,Platinum,H002,5/8/24,5/18/24,10,3820,Leisure,Solo,4
U0028,Platinum,H093,4/12/24,4/15/24,3,729,Business,Solo,3
U0028,Platinum,H051,6/4/25,6/18/25,14,4340,Business,Solo,3.5
U0028,Platinum,H043,3/12/25,3/16/25,4,1184,Business,Group,4
U0028,Platinum,H053,12/3/25,12/7/25,4,792,Business,Solo,3.5
U0028,Platinum,H022,12/11/24,12/14/24,3,1383,Business,Group,5
U0028,Platinum,H023,9/2/24,9/6/24,4,956,Leisure,Couple,4.5
U0028,Platinum,H074,6/23/25,6/30/25,7,1561,Business,Solo,3.5
U0028,Platinum,H081,11/25/25,11/28/25,3,1377,Family,Family,4.5
U0028,Platinum,H012,10/25/23,10/28/23,3,1446,Business,Solo,4.5
U0028,Platinum,H001,11/25/23,11/27/23,2,1072,Business,Solo,5
U0028,Platinum,H031,4/1/25,4/4/25,3,1593,Business,Solo,5
U0028,Platinum,H061,5/24/24,6/3/24,10,4170,Business,Solo,4
U0029,Silver,H035,8/29/24,9/1/24,3,585,Business,Solo,3
U0029,Silver,H014,9/13/23,9/14/23,1,255,Leisure,Group,2.5
U0029,Silver,H053,12/29/25,1/8/26,10,2060,Business,Group,3.5
U0029,Silver,H094,4/11/25,4/21/25,10,2090,Family,Family,4
U0029,Silver,H046,4/5/24,4/7/24,2,218,Leisure,Solo,2
U0029,Silver,H006,10/1/25,10/3/25,2,238,Family,Family,1.5
U0029,Silver,H059,10/9/25,10/12/25,3,285,Business,Group,2.5
U0029,Silver,H032,3/9/25,3/13/25,4,1804,Leisure,Couple,2.5
U0030,Classic,H039,9/18/24,9/20/24,2,148,Family,Family,2
U0030,Classic,H063,7/17/25,7/22/25,5,1285,Leisure,Couple,2
U0030,Classic,H069,6/2/24,6/3/24,1,96,Leisure,Solo,1
U0030,Classic,H032,2/13/25,2/18/25,5,2250,Leisure,Solo,2
U0030,Classic,H009,2/23/24,3/1/24,7,602,Leisure,Family,1.5
U0031,Diamond,H092,5/8/24,5/15/24,7,2975,Business,Solo,4
U0031,Diamond,H061,11/23/23,11/30/23,7,2856,Business,Solo,4.5
U0031,Diamond,H024,12/30/24,1/4/25,5,1485,Business,Solo,4.5
U0031,Diamond,H011,8/3/25,8/6/25,3,1605,Leisure,Solo,4.5
U0031,Diamond,H081,10/16/25,10/18/25,2,1218,Business,Solo,4.5
U0031,Diamond,H032,9/30/23,10/2/23,2,866,Business,Solo,3.5
U0031,Diamond,H042,12/10/25,12/11/25,1,429,Business,Group,4
U0031,Diamond,H014,7/6/24,7/16/24,10,2090,Leisure,Solo,4
U0031,Diamond,H052,12/13/23,12/16/23,3,1581,Business,Solo,4
U0031,Diamond,H002,10/26/23,10/30/23,4,1524,Business,Group,4
U0031,Diamond,H033,1/15/24,1/22/24,7,1477,Leisure,Solo,3.5
U0031,Diamond,H051,4/15/24,4/16/24,1,343,Family,Family,3.5
U0031,Diamond,H040,9/17/25,9/24/25,7,756,Business,Solo,1.5
U0031,Diamond,H071,1/26/25,1/28/25,2,848,Business,Solo,3.5
U0031,Diamond,H072,12/24/23,12/28/23,4,1876,Business,Solo,3.5
U0031,Diamond,H013,2/12/25,2/16/25,4,996,Business,Solo,2.5
U0031,Diamond,H043,4/23/24,4/26/24,3,909,Family,Family,4
U0031,Diamond,H091,9/1/23,9/3/23,2,838,Leisure,Solo,4.5
U0032,Platinum,H024,9/13/23,9/15/23,2,466,Leisure,Solo,3.5
U0032,Platinum,H002,8/6/23,8/9/23,3,1053,Business,Group,3
U0032,Platinum,H052,6/12/25,6/17/25,5,1880,Business,Group,3.5
U0032,Platinum,H045,11/15/23,11/19/23,4,420,Business,Solo,2
U0032,Platinum,H023,9/8/24,9/11/24,3,804,Business,Solo,3
U0032,Platinum,H097,3/14/24,3/15/24,1,180,Business,Group,2.5
U0032,Platinum,H042,8/11/25,8/13/25,2,1114,Business,Solo,4.5
U0032,Platinum,H071,7/22/25,7/27/25,5,1985,Business,Solo,4
U0032,Platinum,H041,7/16/24,7/30/24,14,6426,Business,Group,4.5
U0032,Platinum,H025,9/15/23,9/18/23,3,579,Business,Solo,2
U0032,Platinum,H029,1/24/25,1/27/25,3,198,Business,Solo,1.5
U0032,Platinum,H082,4/29/25,5/2/25,3,1449,Business,Group,5
U0032,Platinum,H062,10/27/23,11/1/23,5,2150,Business,Group,4
U0033,Gold,H049,10/18/25,10/25/25,7,770,Business,Group,1.5
U0033,Gold,H023,3/11/25,3/13/25,2,490,Family,Family,1
U0033,Gold,H041,11/3/25,11/6/25,3,1332,Leisure,Family,1
U0033,Gold,H077,12/11/24,12/12/24,1,71,Business,Solo,1
U0033,Gold,H076,12/20/23,12/22/23,2,186,Family,Couple,1
U0033,Gold,H022,5/7/24,5/9/24,2,1100,Family,Family,1.5
U0033,Gold,H092,7/16/23,7/19/23,3,1221,Business,Solo,1
U0033,Gold,H058,11/24/24,11/27/24,3,180,Leisure,Solo,1
U0033,Gold,H037,1/3/24,1/6/24,3,390,Leisure,Solo,1
U0033,Gold,H050,11/12/23,11/13/23,1,89,Leisure,Couple,2
U0033,Gold,H060,8/4/23,8/11/23,7,511,Leisure,Group,1.5
U0033,Gold,H055,12/4/23,12/8/23,4,480,Family,Couple,1.5
U0033,Gold,H047,11/14/24,11/17/24,3,357,Leisure,Group,1.5
U0033,Gold,H014,8/7/25,8/8/25,1,247,Business,Solo,1
U0034,Platinum,H011,12/20/24,12/24/24,4,1832,Leisure,Couple,4
U0034,Platinum,H012,6/15/25,6/22/25,7,3542,Business,Solo,4
U0034,Platinum,H001,6/2/23,6/9/23,7,3689,Business,Solo,4.5
U0034,Platinum,H003,11/25/23,11/27/23,2,544,Business,Solo,4.5
U0034,Platinum,H061,2/2/24,2/3/24,1,371,Family,Family,4
U0034,Platinum,H035,8/27/23,9/3/23,7,1113,Business,Solo,2.5
U0034,Platinum,H071,12/24/24,12/26/24,2,884,Business,Solo,5
U0034,Platinum,H095,8/22/25,8/26/25,4,540,Leisure,Group,2.5
U0034,Platinum,H002,11/28/23,11/30/23,2,714,Business,Solo,5
U0034,Platinum,H010,4/1/25,4/3/25,2,254,Business,Solo,2
U0034,Platinum,H082,6/17/24,6/20/24,3,1398,Business,Solo,4
