hotel_id,brand,tier,address,city,country,price_range_low,price_range_high,amenities
H001,Raffles,Luxury,"3 Rue de Castiglione, 1st Arrondissement",Paris,France,383,564,"Rooftop Bar, Lounge Access, Spa, Room Service, Fitness Center, Concierge"
H002,Sofitel,Luxury,"1 Rue Scribe, 9th Arrondissement",Paris,France,337,388,"Room Service, Concierge, Spa, Business Center, Valet Parking"
H003,Pullman,Premium,"1 Rue de Libourne, 12th Arrondissement",Paris,France,231,320,"Room Service, Fitness Center, Concierge, Bar, Business Center, Meeting Rooms, Pool"
H004,Mövenpick,Premium,"12 Boulevard de la Madeleine, 9th Arrondissement",Paris,France,146,196,"Fitness Center, Room Service, Bar, Business Center, Pool"
H005,Novotel,Midscale,"8 Place Marguerite de Navarre, 1st Arrondissement",Paris,France,68,187,"Bar, Meeting Rooms, Parking"
H006,Mercure,Midscale,"38 Rue des Lombards, 4th Arrondissement",Paris,France,103,140,"Fitness Center, Parking, Meeting Rooms"
H007,Novotel,Midscale,"34 Avenue du Maine, 15th Arrondissement",Paris,France,63,94,"Bar, Parking, Restaurant, Free WiFi, Fitness Center"
H008,ibis,Economy,"15 Rue Leon Jost, 17th Arrondissement",Paris,France,33,116,"Free WiFi, Breakfast Included, Laundry, Parking"
H009,ibis Styles,Economy,"58 Rue de la Folie Mericourt, 11th Arrondissement",Paris,France,73,136,"Free WiFi, Laundry, Parking"
H010,ibis,Economy,"9 Rue de Bercy, 12th Arrondissement",Paris,France,44,145,"Breakfast Included, Free WiFi, Laundry, Parking"
H011,Fairmont,Luxury,"100 Strand, Westminster",London,United Kingdom,403,669,"Concierge, Spa, Fitness Center, Rooftop Bar, Business Center, Fine Dining"
H012,Sofitel,Luxury,"8 Pall Mall, St James",London,United Kingdom,360,552,"Fine Dining, Fitness Center, Concierge"
H013,Pullman,Premium,"22 Park Lane, Mayfair",London,United Kingdom,167,331,"Restaurant, Concierge, Room Service, Meeting Rooms, Fitness Center"
H014,Swissôtel,Premium,"1 Finsbury Avenue, Liverpool Street",London,United Kingdom,201,267,"Room Service, Bar, Business Center"
H015,Novotel,Midscale,"113 Lambeth Road, Southwark",London,United Kingdom,106,213,"Restaurant, Parking, Fitness Center, Bar, Meeting Rooms"
H016,Mercure,Midscale,"130 Cromwell Road, Kensington",London,United Kingdom,73,205,"Free WiFi, Parking, Meeting Rooms, Restaurant, Bar"
H017,Novotel,Midscale,"1 Shortlands, Hammersmith",London,United Kingdom,122,203,"Free WiFi, Meeting Rooms, Parking, Bar, Restaurant"
